"Designator","Mid X","Mid Y","Layer","Rotation"
"SW1","190mm","-78mm","top","270.0"
"J2","150.37mm","-89.15mm","top","0.0"
"J1","124.98mm","-89.15mm","top","0.0"
"J4","156.9mm","-78.8mm","top","90.0"
"J3","210.33mm","-105.25mm","top","0.0"
"J5","172.3mm","-79.1mm","top","180.0"
"U4","163mm","-125mm","top","270.0"
"U3","163mm","-107mm","top","270.0"
"U1","163mm","-89mm","top","270.0"
"C1","130.25mm","-89.92mm","top","270.0"
"C2","146.28mm","-89.87mm","top","270.0"
"C3","169.25mm","-84.27mm","top","90.0"
"C4","156.95mm","-84.26mm","top","90.0"
"C5","169.3mm","-101.82mm","top","90.0"
"C6","156.9mm","-101.84mm","top","90.0"
"C7","169.15mm","-119.7mm","top","90.0"
"C8","156.9mm","-119.9mm","top","90.0"
"C9","173.4mm","-82.89mm","top","0.0"
"C10","180.55mm","-78.56mm","top","270.0"
"R1","158.05mm","-94.22mm","top","0.0"
"R2","144.56mm","-122.97mm","top","90.0"
"R3","158.01mm","-112.71mm","top","0.0"
"R4","158.08mm","-130.37mm","top","0.0"
"R5","173.44mm","-86.05mm","top","0.0"
"R6","180.63mm","-83.96mm","top","180.0"
"R7","177.52mm","-95.44mm","top","0.0"
"R8","177.57mm","-91.44mm","top","0.0"
